learning_rate,gamma,batch_size,total_timesteps,source_source/avg_return,source_target/avg_return,target_target/avg_return
2.3647474758405704e-05,0.5943671398133967,128.0,64781.0,200.9293975830078,205.27825927734375,207.42535400390625
0.0006333815353932759,0.503188665070441,512.0,18347.0,145.7823028564453,146.66932678222656,172.2978973388672
0.0015898013618627347,0.9155953463162203,1024.0,91776.0,389.638671875,344.70294189453125,369.56878662109375
0.0012104409004885738,0.9665732902555132,1024.0,95636.0,517.5035400390625,500.968994140625,396.604248046875
0.0017366776692654363,0.9895051614995423,1024.0,99429.0,1038.49169921875,955.73681640625,1584.1138916015625
0.00045325327184302935,0.7991568349027429,1024.0,99520.0,354.8367614746094,383.0644836425781,317.6177673339844
0.0018941059411445324,0.9438040289526561,1024.0,99487.0,415.73394775390625,368.29644775390625,243.99615478515625
0.00021367290850057792,0.9806875045208147,256.0,29712.0,278.89459228515625,282.42877197265625,269.3573303222656
0.0026562498686107366,0.34395832359387896,1024.0,75203.0,195.96136474609375,194.7639923095703,353.7934875488281
0.00014323503782358107,0.7094374028193322,1024.0,43833.0,313.22381591796875,349.10028076171875,366.4747619628906
0.003049618408631972,0.8473461118762858,256.0,21570.0,101.74854278564453,166.15313720703125,170.60511779785156
0.00032759621726239485,0.6768526146978409,1024.0,78489.0,322.7308654785156,353.37640380859375,236.8822479248047
0.014405928626584644,0.2560786654384907,512.0,33395.0,112.57312774658203,50.25990676879883,171.54774475097656
0.0008084451567938037,0.8539759198211879,512.0,10578.0,210.18544006347656,101.97950744628906,184.80406188964844
0.0004925560154278618,0.7749205985044503,1024.0,92253.0,206.45741271972656,230.06996154785156,335.12249755859375
0.0001438337328532592,0.8729002551886682,1024.0,98538.0,363.8509216308594,353.08428955078125,358.6698913574219
0.0010594004258802122,0.9795077684421248,1024.0,73231.0,453.2728271484375,413.6387634277344,686.1063232421875
0.00513501435575504,0.9814420383149848,1024.0,71061.0,1086.244384765625,1070.599853515625,260.9989929199219
0.005021855721923326,0.9188076058463355,512.0,54963.0,305.44488525390625,359.1800231933594,371.2645568847656
0.017295753218569944,0.9895970853319006,1024.0,38800.0,248.6228485107422,241.7353057861328,236.7002410888672
0.004519059539830786,0.020320727812205786,512.0,83011.0,38.79152297973633,39.0180778503418,39.26649856567383
0.015869999063745827,0.8847492188316638,1024.0,70781.0,390.23602294921875,385.5294189453125,170.7236328125
0.0013794853787117082,0.6015453721019386,256.0,64830.0,323.1573791503906,340.22705078125,224.1769561767578
0.008346241295973481,0.12096964496051797,1024.0,48705.0,50.82815933227539,39.340065002441406,159.55694580078125
0.003115577526442735,0.4123361900861493,1024.0,51207.0,50.74691390991211,42.5926513671875,147.83041381835938
0.0010289140636747225,0.9711021754676221,1024.0,65688.0,407.9526062011719,386.2040710449219,338.42401123046875
0.0007212016254801196,0.8281226506134931,1024.0,82630.0,290.7288818359375,340.2328796386719,200.61032104492188
0.008299661552333743,0.9843568022657622,512.0,69298.0,503.88037109375,503.7572021484375,563.93115234375
0.009976488046555597,0.8911736116215735,512.0,87059.0,348.7264404296875,372.1816101074219,366.3646545410156
0.031042371359253102,0.7119714672294551,512.0,67726.0,356.1126403808594,372.3238220214844,129.1548614501953
0.010551846988194625,0.22958620308574695,512.0,35498.0,92.45936584472656,112.38195037841797,142.99627685546875
0.04236428579946598,0.7629923474918153,128.0,46603.0,163.49658203125,171.59103393554688,346.5373840332031
0.06259071303115092,0.5301987908101182,128.0,76213.0,47.1038932800293,47.809303283691406,40.87236785888672
5.552814041706011e-05,0.6358949291824452,512.0,42805.0,194.56594848632812,192.5186309814453,194.08412170410156
4.98667058420628e-05,0.7437028557524421,512.0,58856.0,216.25762939453125,213.19070434570312,201.43978881835938
0.031719389946100705,0.811884264159851,128.0,13286.0,251.9608917236328,265.79931640625,178.57948303222656
1.3585804335548398e-05,0.4725799225364083,256.0,26949.0,87.6773910522461,92.11666870117188,101.1091537475586
0.0066217577648652205,0.9298136080652649,512.0,60246.0,334.2911376953125,363.5138244628906,355.8490905761719
