Wall time,Step,Value
1675721341.1105084,0,975.1543579101562
1675721341.2675145,1,1045.3751220703125
1675721341.4142802,2,925.8292846679688
1675721341.572298,3,1035.5941162109375
1675721341.7237394,4,962.7703247070312
1675721341.8785632,5,975.2410888671875
1675721342.0202239,6,912.9488525390625
1675721342.161617,7,909.106689453125
1675721342.3191366,8,1031.78662109375
1675721342.4773612,9,999.8341674804688
1675721342.6208975,10,940.530029296875
1675721342.7734206,11,1008.3258666992188
1675721342.9296534,12,1043.5833740234375
1675721343.074739,13,958.9821166992188
1675721343.2285683,14,1013.1278076171875
1675721343.3766532,15,925.819091796875
1675721343.5318427,16,1010.17626953125
1675721343.6860375,17,1014.2837524414062
1675721343.833014,18,947.2283325195312
1675721343.9944696,19,1039.505859375
1675721344.1589017,20,1098.4287109375
1675721344.3084867,21,982.8787841796875
1675721344.455759,22,910.2340087890625
1675721344.6144085,23,1042.16943359375
1675721344.769033,24,1020.66845703125
1675721344.918711,25,996.0403442382812
1675721345.0174854,26,540.7046508789062
1675721345.175387,27,1055.83544921875
1675721345.3259897,28,1001.4683227539062
1675721345.4642243,29,801.6752319335938
1675721345.6199477,30,1021.8069458007812
1675721345.7741327,31,998.0059814453125
1675721345.9181163,32,943.1473388671875
1675721346.0703013,33,1006.1234741210938
1675721346.2294974,34,1028.6768798828125
1675721346.400611,35,1036.7529296875
1675721346.552343,36,992.2649536132812
1675721346.6941261,37,905.6071166992188
1675721346.8470826,38,1001.7734375
1675721346.9905214,39,930.5892944335938
1675721347.1351562,40,936.964599609375
1675721347.2852564,41,987.0916748046875
1675721347.4402056,42,970.3007202148438
1675721347.5720637,43,896.5533447265625
1675721347.7300172,44,1047.0428466796875
1675721347.877685,45,969.9000854492188
1675721348.0226717,46,955.1671142578125
1675721348.1702616,47,973.4925537109375
1675721348.3271413,48,1035.2950439453125
1675721348.4905546,49,1037.1729736328125
