Wall time,Step,Value
1675733917.898703,0,1063.4791259765625
1675733918.0602968,1,898.74853515625
1675733918.2253816,2,934.4209594726562
1675733918.3912282,3,935.8328857421875
1675733918.559765,4,937.662841796875
1675733918.7226603,5,907.26220703125
1675733918.91971,6,1045.68994140625
1675733919.0895991,7,946.6339111328125
1675733919.2544894,8,917.3128662109375
1675733919.4219599,9,934.287353515625
1675733919.5846603,10,912.3309326171875
1675733919.7498345,11,934.1793823242188
1675733919.9279072,12,919.9364013671875
1675733920.0932975,13,926.2920532226562
1675733920.262995,14,950.21337890625
1675733920.4248455,15,918.1521606445312
1675733920.5936987,16,947.2337646484375
1675733920.777505,17,922.166748046875
1675733920.9534683,18,949.6210327148438
1675733921.1166735,19,910.3458251953125
1675733921.2913587,20,965.2108764648438
1675733921.4609723,21,948.5396728515625
1675733921.6269846,22,914.5750122070312
1675733921.8026106,23,939.0099487304688
1675733921.966238,24,914.8404541015625
1675733922.1330674,25,938.7413330078125
1675733922.295455,26,905.9010620117188
1675733922.4524887,27,885.4067993164062
1675733922.614454,28,906.9269409179688
1675733922.7925029,29,956.0696411132812
1675733922.953322,30,896.839111328125
1675733923.1248968,31,917.5480346679688
1675733923.3003724,32,987.5266723632812
1675733923.468767,33,945.506591796875
1675733923.6329465,34,914.4100341796875
1675733923.8096287,35,953.9684448242188
1675733923.982126,36,937.7261352539062
1675733924.1407163,37,870.211669921875
1675733924.304328,38,929.3109741210938
1675733924.4709902,39,946.0431518554688
1675733924.6368358,40,940.5910034179688
1675733924.8163073,41,962.0421142578125
1675733924.9991984,42,1035.098876953125
1675733925.1684,43,945.9912719726562
1675733925.3271303,44,890.3935546875
1675733925.4894156,45,914.9808959960938
1675733925.6537178,46,930.8308715820312
1675733925.8315587,47,949.6546630859375
1675733925.9980006,48,945.8523559570312
1675733926.1588066,49,924.1529541015625
