Wall time,Step,Value
1675616931.6435456,0,167.32998657226562
1675616932.5745077,1,156.67413330078125
1675616933.763851,2,263.9844665527344
1675616934.5086882,3,120.7560806274414
1675616935.6636925,4,200.7500457763672
1675616936.5912328,5,155.39016723632812
1675616937.642125,6,237.724609375
1675616938.7830365,7,197.25534057617188
1675616939.9152827,8,254.3047637939453
1675616941.010916,9,189.05453491210938
1675616941.9476333,10,157.11778259277344
1675616942.852884,11,150.6422576904297
1675616943.8633776,12,172.1914825439453
1675616945.0341935,13,204.08367919921875
1675616945.8420565,14,132.68798828125
1675616946.892521,15,235.28453063964844
1675616948.0186698,16,194.4171600341797
1675616948.965014,17,159.891845703125
1675616950.7837768,18,390.29144287109375
1675616951.7644446,19,166.36746215820312
1675616953.0031345,20,218.2987823486328
1675616954.1581578,21,201.2067413330078
1675616955.057673,22,149.5904083251953
1675616956.1966991,23,196.70896911621094
1675616957.117863,24,154.41098022460938
1675616957.8974712,25,127.7985610961914
1675616958.728259,26,136.40028381347656
1675616959.5187635,27,129.79043579101562
1675616960.411915,28,148.47265625
1675616961.44161,29,176.32321166992188
1675616962.7199807,30,283.1747741699219
1675616963.6611133,31,159.63510131835938
1675616964.9528117,32,225.1271514892578
1675616965.960783,33,163.39450073242188
1675616966.7548008,34,130.54600524902344
1675616968.2290537,35,264.61578369140625
1675616969.0545285,36,136.05648803710938
1675616970.1320374,37,187.01077270507812
1675616971.900677,38,381.2401428222656
1675616972.9657896,39,181.70765686035156
1675616974.0821638,40,248.0074005126953
1675616975.2679508,41,204.4375457763672
1675616976.0675502,42,129.6292724609375
1675616976.8414857,43,125.42134094238281
1675616978.0923529,44,220.02752685546875
1675616978.8638496,45,125.52579498291016
1675616979.7239099,46,139.74684143066406
1675616980.5645046,47,139.18804931640625
1675616981.6439848,48,186.2953338623047
1675616982.6407042,49,170.53341674804688
