Wall time,Step,Value
1675541227.4768994,0,111.62618255615234
1675541228.1319506,1,112.87821960449219
1675541228.741185,2,103.40098571777344
1675541229.3419855,3,100.9130630493164
1675541229.9755075,4,108.17705535888672
1675541230.63067,5,112.74017333984375
1675541231.2448316,6,103.60868072509766
1675541231.9093442,7,114.64690399169922
1675541232.49903,8,97.77803039550781
1675541233.1234603,9,101.18257141113281
1675541233.770815,10,110.9607925415039
1675541234.4190524,11,106.88809967041016
1675541235.0573413,12,107.528076171875
1675541235.691444,13,101.44061279296875
1675541236.3517754,14,110.0994873046875
1675541236.9769466,15,101.96208190917969
1675541237.6225424,16,108.41278076171875
1675541238.2275262,17,102.29148864746094
1675541238.8617969,18,106.06319427490234
1675541239.5254955,19,112.7430648803711
1675541240.1531215,20,105.42747497558594
1675541240.7893386,21,108.55106353759766
1675541241.4058514,22,103.53272247314453
1675541242.0618334,23,112.92543029785156
1675541242.6025865,24,89.75882720947266
1675541243.2830813,25,117.57551574707031
1675541243.954955,26,115.28711700439453
1675541244.5628247,27,102.3658218383789
1675541245.1640635,28,99.55339050292969
1675541245.7694144,29,102.8387680053711
1675541246.4493983,30,117.56611633300781
1675541247.0664794,31,104.20169830322266
1675541247.7082343,32,110.37094116210938
1675541248.3539324,33,110.03753662109375
1675541249.0008733,34,109.76715087890625
1675541249.6281295,35,105.32646179199219
1675541250.2157786,36,97.51506805419922
1675541250.8864667,37,114.02281188964844
1675541251.483988,38,99.19477844238281
1675541252.1232302,39,106.12281036376953
1675541252.7184284,40,100.1720199584961
1675541253.3336978,41,102.0660400390625
1675541253.9698675,42,107.61164093017578
1675541254.5930078,43,104.59793090820312
1675541255.1419675,44,89.10565185546875
1675541255.7294774,45,99.03966522216797
1675541256.3829474,46,111.66641235351562
1675541256.9951036,47,101.82841491699219
1675541257.594132,48,101.07193756103516
1675541258.2203298,49,106.1251449584961
