Wall time,Step,Value
1675591815.9917958,0,0.9170177578926086
1675591816.1123405,1,0.9282902479171753
1675591816.2326884,2,0.7934672832489014
1675591816.3529882,3,1.032110333442688
1675591816.4732068,4,1.0175913572311401
1675591816.6018095,5,0.957004964351654
1675591816.722168,6,0.9101833701133728
1675591816.8442092,7,1.0197805166244507
1675591816.9692543,8,0.8538891673088074
1675591817.0971794,9,0.8148642778396606
1675591817.2178228,10,0.994958221912384
1675591817.3374476,11,1.0049699544906616
1675591817.4574306,12,0.8492804169654846
1675591817.577442,13,0.9439597129821777
1675591817.6969113,14,1.0433638095855713
1675591817.817436,15,0.9461708664894104
1675591817.9381003,16,0.7194923162460327
1675591818.059346,17,0.9826242923736572
1675591818.1792977,18,1.145552635192871
1675591818.2994416,19,1.0244488716125488
1675591818.427679,20,1.0756404399871826
1675591818.5493212,21,1.0851739645004272
1675591818.6722353,22,1.110571026802063
1675591818.795647,23,0.9264156818389893
1675591818.9155657,24,0.86232990026474
1675591819.0364783,25,0.8949484825134277
1675591819.1592216,26,0.9816507697105408
1675591819.2809284,27,0.9820617437362671
1675591819.4020116,28,1.0029442310333252
1675591819.5218596,29,0.9796481132507324
1675591819.6454806,30,1.1087157726287842
1675591819.766101,31,0.9796388745307922
1675591819.8862355,32,0.9171710014343262
1675591820.0061998,33,1.1084197759628296
1675591820.1279469,34,1.0941461324691772
1675591820.2484615,35,0.9307653903961182
1675591820.3685856,36,0.8596925139427185
1675591820.4905448,37,0.8935807347297668
1675591820.6110437,38,1.098643183708191
1675591820.731249,39,0.9909497499465942
1675591820.8518274,40,1.0022813081741333
1675591820.97212,41,0.7906022667884827
1675591821.0926661,42,0.8409392833709717
1675591821.2119818,43,1.0775424242019653
1675591821.332816,44,0.9115367531776428
1675591821.45301,45,0.9956843852996826
1675591821.5746224,46,0.9978448748588562
1675591821.6949234,47,1.0131328105926514
1675591821.8157737,48,1.06475031375885
1675591821.9358773,49,1.0205620527267456
